open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1687852800000,238.770,241.100,237.350,238.050,537975.83,1687881599999,128672120.49688,222096,258718.35,61889374.82208,0
1687881600000,238.050,239.740,236.820,237.450,330579.15,1687910399999,78882938.35460,134016,159634.32,38090624.60800,0
1687910400000,237.460,237.580,230.290,232.640,714202.48,1687939199999,167400992.15095,251723,340198.12,79749375.10250,0
1687939200000,232.650,236.560,231.170,235.080,683138.20,1687967999999,159469801.06161,234428,342930.23,80057168.65741,0
1687968000000,235.090,235.450,221.200,230.520,848559.08,1687996799999,194747937.45955,333928,401850.06,92237446.32121,0
1687996800000,230.510,234.160,230.360,233.360,384268.54,1688025599999,89324670.00210,158536,188112.67,43727934.72250,0
1688025600000,233.350,236.840,232.440,233.400,631241.91,1688054399999,148088701.51951,238939,304798.68,71516685.09801,0
1688054400000,233.400,234.450,232.200,233.120,285425.85,1688083199999,66602079.61044,130106,135912.96,31716091.98870,0
1688083200000,233.120,240.900,231.590,238.740,804139.94,1688111999999,190536546.92169,307517,408800.79,96893442.40389,0
1688112000000,238.750,241.880,230.300,235.630,1086767.44,1688140799999,257796014.74356,391132,526422.47,124898244.74451,0
1688140800000,235.630,241.980,234.910,240.450,619683.04,1688169599999,148580633.50738,258883,305826.28,73329278.40568,0
1688169600000,240.450,246.300,240.210,242.190,643974.93,1688198399999,156111324.81275,243493,323083.58,78334364.85015,0
1688198400000,242.200,249.060,242.010,247.450,793001.99,1688227199999,194773397.84512,285676,405689.96,99655590.22552,0
1688227200000,247.440,249.540,245.740,247.990,343101.71,1688255999999,84870775.69590,151018,171860.59,42519563.94210,0
1688256000000,248.000,248.750,243.080,245.810,533363.12,1688284799999,130896383.18700,206806,259144.54,63603802.53270,0
1688284800000,245.820,246.730,242.830,246.200,555472.92,1688313599999,136276176.78895,200462,268492.18,65878144.98890,0
1688313600000,246.200,248.000,243.160,246.770,429689.62,1688342399999,105523052.45552,172182,205988.89,50597484.76622,0
1688342400000,246.780,250.550,245.870,249.760,509082.36,1688371199999,126295270.17609,189241,261726.65,64936613.64659,0
